
2024/05/07 (09:40:33) | ===> btop++ v.1.3.2
2024/05/07 (09:40:33) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/13 (12:08:21) | ERROR: failed getting network interfaces

2024/05/16 (11:52:52) | ===> btop++ v.1.3.2
2024/05/16 (11:52:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/20 (09:35:11) | ===> btop++ v.1.3.2
2024/05/20 (09:35:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/21 (10:09:40) | ===> btop++ v.1.3.2
2024/05/21 (10:09:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/03 (11:17:07) | ===> btop++ v.1.3.2
2024/06/03 (11:17:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/07 (10:15:01) | ===> btop++ v.1.3.2
2024/06/07 (10:15:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/20 (05:07:39) | ===> btop++ v.1.3.2
2024/07/20 (05:07:39) | ERROR: Stall in Runner thread, restarting!

2024/07/24 (12:07:52) | ===> btop++ v.1.3.2
2024/07/24 (12:07:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/06 (17:23:08) | ===> btop++ v.1.3.2
2024/08/06 (17:23:08) | ERROR: failed getting network interfaces

2024/08/07 (11:41:38) | ===> btop++ v.1.3.2
2024/08/07 (11:41:38) | ERROR: Stall in Runner thread, restarting!

2024/08/25 (21:52:18) | ===> btop++ v.1.3.2
2024/08/25 (21:52:18) | ERROR: Stall in Runner thread, restarting!
2024/08/25 (21:52:24) | ERROR: Stall in Runner thread, restarting!
2024/08/25 (21:52:30) | ERROR: Stall in Runner thread, restarting!

2024/09/04 (17:03:37) | ===> btop++ v.1.3.2
2024/09/04 (17:03:37) | ERROR: Stall in Runner thread, restarting!
2024/09/04 (17:03:43) | ERROR: Stall in Runner thread, restarting!
2024/09/04 (18:27:00) | ERROR: Stall in Runner thread, restarting!
2024/09/04 (18:27:06) | ERROR: Stall in Runner thread, restarting!
2024/09/04 (18:27:12) | ERROR: Stall in Runner thread, restarting!
2024/09/04 (18:27:18) | ERROR: Stall in Runner thread, restarting!
2024/09/04 (18:27:24) | ERROR: Stall in Runner thread, restarting!
